strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,martingale_max_loss_streak_train,martingale_max_loss_streak_test,martingale_max_step_used_train,martingale_max_step_used_test,martingale_max_multiplier_used_train,martingale_max_multiplier_used_test,grid_max_adds_used_train,grid_max_adds_used_test,grid_max_multiplier_used_train,grid_max_multiplier_used_test,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
ma_cross,-2.173523869992855,3.8791831696183956,,,False,-0.4530737586854673,,-3.712263927968129,,0.5803531691097232,,1.1416889920777742,,-0.03712263927968129,,888,0,True,1739,0,0,0,0,1.0,1.0,0,0,1.0,1.0,77.0,170.0,pct,2.2304985329706515,partial_trailing,0.880699003928043,4.017608703820799,pct,True,True,9.59980877877823,none,,,,,,,,,,,,,,,,,,,,198,,
ma_cross,0.9209212778385822,4.215869358201665,0.8455273781311945,2.416105151241869,True,0.17228403928712122,0.29923196821752474,-4.373183858142535,-3.2274302360975473,0.9829415806079436,1.1913070083683404,1.095902853037079,0.9712053590922693,-0.04373183858142535,-0.032274302360975476,671,220,True,1159,0,0,0,0,1.0,1.0,0,0,1.0,1.0,77.0,249.0,rr,,partial_trailing,0.5633259007686149,4.464901721677198,pct,False,False,9.530623575328201,none,4.421189249661455,,,,,,,,,,,,,,,,,,,60,22,-38
ma_cross,1.5801690575319327,4.269899503353299,1.243264279317069,2.3552292680553597,True,0.27881402287005447,0.44706181544267537,-4.539856173690874,-3.109615335452243,1.0580714753894733,1.3471746808721945,1.196355412034,1.1287057731621588,-0.04539856173690873,-0.031096153354522427,663,219,True,1008,0,0,0,0,1.0,1.0,0,0,1.0,1.0,77.0,244.0,rr,,partial_trailing,0.3935257234321401,3.369187818249403,pct,False,False,9.877228521228087,none,8.446308763658116,,,,,,,,,,,,,,,,,,,55,20,-35
ma_cross,5.284542094872013,4.432774155200354,0.4764134714694057,2.806771439675112,True,0.7073965560700513,0.1524636517128592,-6.218776227499045,-4.435542232437049,1.9607809020624078,1.369884690382324,1.8174566273363857,0.8447654923948947,-0.06218776227499044,-0.044355422324370494,721,222,True,1630,0,0,0,0,1.0,1.0,0,0,1.0,1.0,80.0,247.0,pct,3.7059269576364966,partial_trailing,0.8090705977248199,3.9433940874825892,pct,True,True,6.673472608974199,none,,,,,,,,,,,,,,,,,,,,48,24,-24
ma_cross,6.239447389137154,5.576645540597267,2.754316963456249,4.052432890672569,True,0.6148172167927207,0.5889879771770232,-8.722228496774381,-6.183024515630129,2.5632013959497546,2.8233614270474203,1.75051611385233,1.2106440178729307,-0.08722228496774381,-0.0618302451563013,735,225,True,1392,22,17,1,1,1.7321045127340617,1.7321045127340617,0,0,1.0,1.0,80.0,232.0,pct,3.343516365402726,partial_trailing,0.7122238268040065,4.1650544498463455,pct,True,True,7.180555807197184,martingale,,1.7321045127340617,1.0,,,,,,,,,,,,,,,,,45,16,-29
ma_cross,11.452235315642545,6.944904457184281,-7.549197020612608,17.003740546300396,True,1.0194871684727553,-1.0914874532067933,-4.703950360620102,-3.552533901154904,3.0624266913825897,0.33419117411236954,2.7425435132596037,0.19920889566376632,-0.047039503606201016,-0.03552533901154904,1202,400,True,826,10,15,8,8,19.544541197063875,19.544541197063875,0,0,1.0,1.0,61.0,111.0,pct,1.4564084287093302,partial_trailing,0.7847180261225114,3.874160414799216,pct,False,False,9.489121995209837,martingale,,1.4500339980637302,8.0,,,,,,,,,,,,,,,,,35,93,58
ma_cross,12.505222435558828,10.755078674528884,5.32473807877587,6.009410135983663,True,0.8289811641055966,0.792377495217731,-11.203711439308371,-5.694936045329603,3.8308446666023084,4.121813321486153,1.6544850041820405,1.2768548015739316,-0.11203711439308371,-0.05694936045329604,750,237,True,1067,21,17,1,1,2.930482044702881,2.930482044702881,0,0,1.0,1.0,80.0,227.0,pct,6.432809709589719,full,,,pct,False,True,9.480761302617344,martingale,,2.930482044702881,1.0,,,,,,,,,,,,,,,,,33,13,-20
ma_cross,22.390785813008442,11.124308092350429,-1.5743314744955605,9.876891527253575,True,1.2208443873919577,-0.15623207092561434,-6.604748286661217,-3.7631340160059468,4.134186814118399,1.686984246394207,2.5868166339455705,0.9596930003241025,-0.06604748286661218,-0.037631340160059465,1313,441,True,705,17,15,8,8,11.331943544516076,11.331943544516076,0,0,1.0,1.0,40.0,127.0,pct,3.553795838775654,partial_trailing,0.8436233153982607,4.161566068549259,pct,True,True,9.653766415598474,martingale,,1.3545281975395846,8.0,,,,,,,,,,,,,,,,,24,69,45
ma_cross,40.146109627222536,12.653320545763002,9.604440879107944,12.09301457201251,True,1.2745609505156876,0.7116430542443615,-12.37166747205903,-8.142429091853359,10.1768741143994,8.125057347236606,2.1800570216287305,1.1757702867132582,-0.12371667472059031,-0.08142429091853358,754,226,True,1260,13,13,8,8,797.9852318525146,797.9852318525146,0,0,1.0,1.0,80.0,245.0,pct,2.7511557868861463,partial_trailing,0.4734952247590263,3.465111725172999,pct,False,True,7.046195655206359,martingale,,2.305416285792124,8.0,,,,,,,,,,,,,,,,,18,8,-10
ma_cross,44.8989969097733,14.52308301043161,12.514589666929176,11.754536569914203,True,1.2726313516661767,0.8231295320203935,-14.862678227591129,-8.065868271962941,10.34960713643272,8.844831874310035,2.022728243991563,1.230874465231364,-0.14862678227591128,-0.08065868271962941,854,252,True,833,17,17,9,9,1617.3713012152168,1617.3713012152168,0,0,1.0,1.0,80.0,227.0,pct,2.861532349723607,partial_trailing,0.17013326849818,2.2378394216617195,pct,True,True,8.067409105943593,martingale,,2.272659720220852,9.0,,,,,,,,,,,,,,,,,17,5,-12
ma_cross,61.46737250642656,17.427344021925965,8.035608601420652,15.921600041055619,True,1.3882223328544783,0.5317412300920208,-20.751730615417372,-8.365528665085748,14.884976519791325,7.64184821257306,2.0097219400029123,0.9434800420577835,-0.20751730615417374,-0.08365528665085747,728,227,True,1664,13,14,5,5,397.77299435002305,397.77299435002305,0,0,1.0,1.0,78.0,246.0,pct,6.445623565718787,partial_trailing,0.7579844509074888,0.7059971300721498,pct,True,True,8.633943374498964,martingale,,3.310755116757816,5.0,,,,,,,,,,,,,,,,,10,9,-1
