strategy,return_train_pct,dd_train_pct,return_test_pct,dd_test_pct,tested,sharpe_train,sharpe_test,median_pnl_per_position_train,median_pnl_per_position_test,avg_pnl_per_position_train,avg_pnl_per_position_test,sharpe_pnl_per_position_train,sharpe_pnl_per_position_test,median_pnl_per_position_train_pct,median_pnl_per_position_test_pct,trades_train,trades_test,eligible,trial,fast_period,slow_period,tp_mode,tp_pct,tp_mgmt,tp1_close_frac,tp_trail_pct,sl_type,sl_trailing,exit_on_flat,sl_pct,pm_mode,tp_rr,martingale_multiplier,martingale_max_steps,rsi_period,rsi_low_th,rsi_high_th,sl_atr_period,sl_atr_mult,grid_max_adds,grid_spacing_pct,grid_size_multiplier,bb_period,bb_std,range_lookback,range_buffer_pct,stoch_k_period,stoch_d_period,stoch_oversold,stoch_overbought,rank_pre_wf,rank_post_wf,rank_delta
range_breakout,54.27475543356613,15.705725154794287,27.715743949007088,7.610678017828118,True,1.4032355544700383,1.659033436741939,-22.981128997698125,-6.1567015358956025,21.365023331323012,32.8488724419468,1.4746114629432352,1.4443076417624554,-0.22981128997698128,-0.06156701535895603,340,89,True,1330,,,pct,8.44241969437981,partial_trailing,0.46875678908312624,0.22089725088219386,pct,False,False,7.53329555762576,martingale,,2.728781031652531,4.0,,,,,,,,,,,147.0,0.12353091598090721,,,,,14,1,-13
range_breakout,56.0690851254672,17.9859021327461,25.434032420605156,7.6258584185899325,True,1.548920638278861,2.0430246106128283,-26.70626636378706,-1.2937523410919896,25.21179685295105,37.205728025413656,1.4210759978937402,1.6933368166588734,-0.2670626636378706,-0.012937523410919895,274,71,True,974,,,rr,,partial_trailing,0.5578053244381388,3.3057702319712408,pct,True,False,6.126023391349768,martingale,1.5718680914046155,1.9354306212355006,5.0,,,,,,,,,,,198.0,0.12315063131592591,,,,,13,2,-11
ma_cross,107.65837007547017,23.14602338223067,19.371995288125365,12.855114273658799,True,2.073333651313419,1.1694905165505123,-20.43864824844071,-8.000970292256918,20.398190248655897,11.7230758867784,2.5901099922716058,1.6238357352135735,-0.2043864824844071,-0.08000970292256918,799,256,True,1586,78.0,207.0,pct,6.04343760707938,partial_trailing,0.8169885382561705,2.3795457345206787,pct,True,True,7.707827157215093,martingale,,2.501070588757879,9.0,,,,,,,,,,,,,,,,,3,3,0
range_breakout,57.68949756287118,20.667354647184098,15.361906818191073,8.77150467783385,True,1.7983360760197578,1.649211990806152,-21.97650261087559,-0.9159878596728523,25.763579492176337,23.105539153039427,1.5323429138272089,1.451181228890766,-0.2197650261087559,-0.009159878596728524,267,70,True,1782,,,pct,6.521861777725184,partial_trailing,0.44703262525536747,3.6018877188732112,pct,True,False,8.835701271560698,martingale,,1.992327409156061,5.0,,,,,,,,,,,204.0,0.12315063131592591,,,,,11,4,-7
ma_cross,44.8989969097733,14.52308301043161,12.514589666929176,11.754536569914203,True,1.2726313516661767,0.8231295320203935,-14.862678227591129,-8.065868271962941,10.34960713643272,8.844831874310035,2.022728243991563,1.230874465231364,-0.14862678227591128,-0.08065868271962941,854,252,True,833,80.0,227.0,pct,2.861532349723607,partial_trailing,0.17013326849818,2.2378394216617195,pct,True,True,8.067409105943593,martingale,,2.272659720220852,9.0,,,,,,,,,,,,,,,,,17,5,-12
range_breakout,84.596216895019,21.38484326459007,11.885832793650097,15.133541624654749,True,2.034112855697454,0.8839771924152252,-18.68385430403533,-2.4608154633664436,44.019565709615755,21.845210661116088,1.6399921578095809,0.797170333110545,-0.1868385430403533,-0.024608154633664437,222,55,True,1379,,,pct,6.247063625898023,partial_trailing,0.1365936270500103,4.364107190454263,pct,True,False,9.73754079485623,martingale,,3.4237507454499445,8.0,,,,,,,,,,,198.0,0.17294152847647837,,,,,7,6,-1
range_breakout,39.27763458041695,15.474169014947137,11.324823245039383,6.916188257822431,True,1.4356720990046659,1.2865114057786273,-18.699397435164737,-2.3729179788866666,17.0654814743746,16.484062996909696,1.3999590200470704,1.125896680107677,-0.18699397435164739,-0.023729179788866666,285,75,True,1377,,,pct,7.917258074201634,partial_trailing,0.7386630619921615,1.5516181548779744,pct,False,False,8.508968905523812,martingale,,1.8001836195944687,6.0,,,,,,,,,,,198.0,0.12353091598090721,,,,,19,7,-12
ma_cross,40.146109627222536,12.653320545763002,9.604440879107944,12.09301457201251,True,1.2745609505156876,0.7116430542443615,-12.37166747205903,-8.142429091853359,10.1768741143994,8.125057347236606,2.1800570216287305,1.1757702867132582,-0.12371667472059031,-0.08142429091853358,754,226,True,1260,80.0,245.0,pct,2.7511557868861463,partial_trailing,0.4734952247590263,3.465111725172999,pct,False,True,7.046195655206359,martingale,,2.305416285792124,8.0,,,,,,,,,,,,,,,,,18,8,-10
ma_cross,61.46737250642656,17.427344021925965,8.035608601420652,15.921600041055619,True,1.3882223328544783,0.5317412300920208,-20.751730615417372,-8.365528665085748,14.884976519791325,7.64184821257306,2.0097219400029123,0.9434800420577835,-0.20751730615417374,-0.08365528665085747,728,227,True,1664,78.0,246.0,pct,6.445623565718787,partial_trailing,0.7579844509074888,0.7059971300721498,pct,True,True,8.633943374498964,martingale,,3.310755116757816,5.0,,,,,,,,,,,,,,,,,10,9,-1
range_breakout,13.31242685051941,5.8060994595897215,6.407815284171581,2.336828639243756,True,1.6045346823875837,1.9451111861069261,38.70392644720262,38.43243840396352,10.247879387347458,21.06035474136956,1.9316456638315007,2.36421066796727,0.3870392644720262,0.38432438403963526,164,33,True,1759,,,pct,2.7245786221173978,partial_trailing,0.8082675494443282,2.94070620447564,pct,True,False,6.551593186311258,grid,,,,,,,,,1.0,2.446555919185471,2.9651915615300086,,,198.0,0.3129299578571182,,,,,32,10,-22
